Delegacia,Ano,Mês,Total de Ocorrências
DEL.POL.IGUAPE,2020,Julho,7
DEL.POL.IGUAPE,2019,Julho,7
DEL.POL.UBATUBA,2019,Maio,7
DEL.INV.M.AMB.TABOAO SERRA,2021,Julho,7
DIIMA - 01ª DEL.POL.,2019,Junho,7
DEL.POL.ILHA COMPRIDA,2019,Abril,6
DIIMA - 02ª DEL.POL.,2020,Fevereiro,6
DEL.POL.IGUAPE,2019,Maio,6
DEL.POL.IGUAPE,2021,Abril,6
DEL.POL.IGUAPE,2022,Abril,6
DEL.POL.ILHABELA,2020,Fevereiro,6
DIIMA - 02ª DEL.POL.,2022,Março,6
DIIMA - 01ª DEL.POL.,2019,Julho,6
DIIMA - 01ª DEL.POL.,2020,Março,6
DEL.POL.ILHA COMPRIDA,2020,Abril,6
DIIMA - 02ª DEL.POL.,2022,Maio,6
DEL.POL.UBATUBA,2021,Março,6
DIIMA - 02ª DEL.POL.,2021,Junho,6
DIIMA - 02ª DEL.POL.,2020,Março,6
DIIMA - 01ª DEL.POL.,2020,Julho,6
DEL.POL.UBATUBA,2022,Janeiro,6
DEL.POL.ILHABELA,2023,Abril,5
DEL.POL.ILHA COMPRIDA,2023,Fevereiro,5
DEL.POL.UBATUBA,2022,Julho,5
DEL.POL.ILHABELA,2023,Janeiro,5
DEL.POL.ILHA COMPRIDA,2019,Janeiro,5
DIIMA - 01ª DEL.POL.,2021,Julho,5
DEL.INV.M.AMB.GUARULHOS,2019,Janeiro,5
DEL.INV.M.AMB.CARAPICUIBA,2023,Fevereiro,5
DIIMA - 01ª DEL.POL.,2021,Maio,5
DEL.INV.M.AMB.CARAPICUIBA,2023,Junho,5
DEL.INV.M.AMB.CARAPICUIBA,2023,Maio,5
DIIMA - 01ª DEL.POL.,2022,Julho,5
DEL.INV.M.AMB.GUARULHOS,2019,Julho,5
DIIMA - 01ª DEL.POL.,2019,Março,5
DEL.INV.M.AMB.CARAPICUIBA,2019,Janeiro,5
DEL.INV.M.AMB.CARAPICUIBA,2019,Maio,5
DEL.INV.M.AMB.TABOAO SERRA,2023,Janeiro,5
DEL.POL.ILHABELA,2020,Junho,5
DEL.POL.ILHA COMPRIDA,2021,Junho,5
DIIMA - 01ª DEL.POL.,2023,Abril,5
